customerId,shortDate.year,shortDate.month,items.name,items.cost,location.code
BO-301,2015,2,sneakers,22,A
BO-301,2015,2,cups,3,A
BO-301,2015,2,mechanical pencil,8,A
BO-301,2015,2,rice,4.25,A
BO-301,2015,2,pencil,8,A
BO-301,2015,2,movie ticket,15,A
BO-301,2015,2,fruit,11,A
BO-301,2015,2,eye glasses,155,A
BO-301,2015,2,leather bag,320,A
BO-301,2015,2,mobile phone,625,A
BU-589,2012,3,sneakers,22,C
BU-589,2012,3,cups,3,C
BU-589,2012,3,vegetables,10,C
BU-589,2012,3,computer,1200,C
BU-589,2012,3,paper,5,C
BM-507,2012,3,cake,12.5,D
BM-507,2012,3,soda,8,D
BM-507,2012,3,mobile phone,625,D
BZ-891,2014,5,cake,12.5,C
BZ-891,2014,5,shoes,42,C
BZ-891,2014,5,printer,250,C
BZ-891,2014,5,dolls,10,C
BZ-891,2014,5,bookshelf,125,C
CA-154,2015,2,mechanical pencil,8,A
CA-154,2015,2,printer,250,A
CA-154,2015,2,cups,3,A
CA-154,2015,2,xbox,250,A
CA-154,2015,2,sneakers,22,A
CA-154,2015,2,television,720,A
CA-154,2015,2,books,15,A
CA-154,2015,2,shoes,42,A
CA-154,2015,2,belt,18.25,A
BW-692,2013,11,pencil,8,D
BW-692,2013,11,headphones,90,D
BW-692,2013,11,eye glasses,155,D
BW-692,2013,11,mobile phone,625,D
BW-692,2013,11,chair,99,D
BW-692,2013,11,cups,3,D
BW-692,2013,11,xbox,250,D
BW-692,2013,11,printer,250,D
CB-599,2013,5,dolls,10,A
CB-599,2013,5,bookshelf,125,A
CB-599,2013,5,belt,18.25,A
CB-599,2013,5,cups,3,A
CB-599,2013,5,shoes,42,A
CB-599,2013,5,fruit,11,A
CB-599,2013,5,headphones,90,A
CB-599,2013,5,paper,5,A
CB-599,2013,5,movie ticket,15,A
CB-599,2013,5,pencil,8,A
BT-817,2013,5,vegetables,10,A
BT-817,2013,5,chair,99,A
BT-817,2013,5,paper,5,A
BT-817,2013,5,books,15,A
BT-817,2013,5,fruit,11,A
BT-817,2013,5,mobile phone,625,A
BT-817,2013,5,pencil,8,A
BT-817,2013,5,soda,8,A
BT-817,2013,5,belt,18.25,A
BZ-335,2015,3,pencil,8,B
BZ-335,2015,3,headphones,90,B
BZ-335,2015,3,vegetables,10,B
BZ-335,2015,3,television,720,B
BZ-335,2015,3,movie ticket,15,B
BZ-114,2012,7,shoes,42,B
BZ-114,2012,7,mechanical pencil,8,B
BZ-114,2012,7,belt,18.25,B
BZ-114,2012,7,cake,12.5,B
BZ-114,2012,7,soda,8,B
BZ-114,2012,7,leather bag,320,B
BZ-114,2012,7,sneakers,22,B
BZ-114,2012,7,fruit,11,B
BR-860,2016,11,belt,18.25,C
BR-860,2016,11,mobile phone,625,C
BR-860,2016,11,vegetables,10,C
BR-860,2016,11,dolls,10,C
BR-860,2016,11,mechanical pencil,8,C
BR-860,2016,11,leather bag,320,C
BR-860,2016,11,books,15,C
BR-860,2016,11,sneakers,22,C
BR-860,2016,11,rice,4.25,C
BQ-947,2015,11,vegetables,10,B
BQ-947,2015,11,shoes,42,B
BQ-947,2015,11,eye glasses,155,B
BQ-947,2015,11,mobile phone,625,B
BQ-947,2015,11,fruit,11,B
BZ-424,2012,2,headphones,90,B
BZ-424,2012,2,shoes,42,B
BZ-424,2012,2,television,720,B
BZ-424,2012,2,cups,3,B
BZ-424,2012,2,xbox,250,B
BZ-424,2012,2,eye glasses,155,B
BZ-424,2012,2,leather bag,320,B
BZ-424,2012,2,movie ticket,15,B
BZ-424,2012,2,books,15,B
BZ-424,2012,2,dolls,10,B
BZ-424,2012,2,mechanical pencil,8,B
BZ-424,2012,2,sneakers,22,B
BZ-424,2012,2,pencil,8,B
BZ-424,2012,2,rice,4.25,B
BZ-424,2012,2,chair,99,B
BZ-424,2012,2,belt,18.25,B
BZ-424,2012,2,paper,5,B
BZ-424,2012,2,soda,8,B
BZ-424,2012,2,fruit,11,B
BZ-424,2012,2,bookshelf,125,B
BO-605,2011,11,bookshelf,125,D
BO-605,2011,11,pencil,8,D
BO-605,2011,11,television,720,D
BO-605,2011,11,dolls,10,D
BO-605,2011,11,chair,99,D
BO-605,2011,11,vegetables,10,D
CA-164,2012,4,mobile phone,625,B
CA-164,2012,4,leather bag,320,B
CA-164,2012,4,television,720,B
CA-164,2012,4,fruit,11,B
CA-164,2012,4,cake,12.5,B
CA-164,2012,4,movie ticket,15,B
BX-134,2016,8,belt,18.25,C
BX-134,2016,8,headphones,90,C
BX-134,2016,8,mobile phone,625,C
BX-134,2016,8,bookshelf,125,C
BX-134,2016,8,cups,3,C
BX-134,2016,8,pencil,8,C
BX-134,2016,8,eye glasses,155,C
BX-134,2016,8,sneakers,22,C
BX-134,2016,8,vegetables,10,C
BV-495,2015,9,shoes,42,A
BV-495,2015,9,books,15,A
BV-495,2015,9,bookshelf,125,A
BV-495,2015,9,chair,99,A
BV-495,2015,9,xbox,250,A
BV-495,2015,9,belt,18.25,A
BV-495,2015,9,mobile phone,625,A
BV-993,2014,11,leather bag,320,D
BV-993,2014,11,television,720,D
BV-993,2014,11,cups,3,D
